Language,YouTube,YouTube_supoprted,Meta,Meta_supported,Twitter,Twitter_supported,TikTok,TikTok_supported,Snapchat,SnapChat_supported,LinkedIn,LinkedIn_supported
Arabic,,1,,1,22,1,,1,529,1,,1
Bulgarian,16,1,34,0,1,0,48,1,0,0,0,0
Croatian,33,1,38,1,1,0,19,1,0,0,2,0
Czech,48,1,36,1,0,1,59,1,0,0,0,1
Danish,15,1,28,1,0,1,29,1,15,1,0,1
Dutch,66,1,89,1,1,0,147,1,23,1,8,1
English,10013,1,145,1,1660,1,1873,1,1115,1,1026,1
Estonian,7,1,4,0,0,0,9,1,0,0,0,0
Finnish,22,1,19,1,0,1,37,1,8,1,0,1
French,299,1,397,1,61,1,494,1,219,1,30,1
German,273,1,335,1,71,1,709,1,72,1,21,1
Greek,39,1,28,1,0,1,67,1,0,1,0,1
Hebrew,,1,,1,2,1,,1,1,0,,1
Hindi,,1,,1,,1,,1,29,1,,1
Hungarian,38,1,31,1,0,1,56,1,0,0,0,1
Indonesian,,1,,1,,1,,1,7,1,,1
Irish,2,1,0,0,0,0,0,1,0,0,0,0
Italian,162,1,283,1,2,1,396,1,12,1,16,1
Japanese,,1,,1,,1,,1,4,1,,1
Latvian,9,1,3,0,1,0,13,1,0,0,0,0
Lithuanian,13,1,9,0,0,0,11,1,0,0,1,0
Maltese,0,0,1,0,0,0,0,0,0,0,0,0
Mandarin,,1,,1,,1,,1,4,1,,1
Norwegian,,1,,1,,1,,1,30,1,,1
Polish,228,1,87,1,1,1,180,1,3,1,10,1
Portuguese,354,1,826,1,29,1,148,1,13,1,35,1
Punjabi,,1,,0,,0,,0,15,1,,1
Romanian,59,1,52,1,0,1,124,1,4,1,0,1
Russian,,1,,1,,1,,1,11,1,,1
Slovak,10,1,28,1,0,0,39,1,0,0,0,0
Slovenian,11,1,8,0,0,0,41,1,0,0,0,0
Spanish,579,1,1422,1,29,1,500,1,54,1,34,1
Swedish,24,1,42,1,0,1,98,1,21,1,0,1
Tagalog,,0,,0,,0,,0,5,0,,1
Tamil,,1,,0,,0,,0,7,1,,0
Turkish,,1,,1,,1,,1,6,1,,1
Ukrainian,,1,,1,,1,,1,3,0,,1